Título,Autor,Data do fim,Nota
A revolução dos bichos,George Orwell,"August 2, 2022",7.5
O lobo da estepe,Herman Hesse,"August 17, 2022",6.8
O santo e a porca,Ariano Suassuna,"August 22, 2022",6
Como as democracias morrem,Steven Levitski,"October 16, 2022",7.5
O cavaleiro da morte,"Bernard
  Cornwell","November 18, 2022",8.6
Chutando a escada,H. Chang,"November 20, 2022",6
As intermitências da morte,José Saramago,"December 8, 2022",10
As cavernas de aço,Isaac Asimov,"December 25, 2022",9.5
Duna,Frank Herbert,"January 3, 2023",9.2
Uma confraria de tolos,John Kennedy Toole,"February 6, 2023",5
A metamorfose,Franz Kafka,"February 17, 2023",8
Os sofrimentos do jovem Werter,Goethe,"March 10, 2023",6
O design do dia a dia,Donald Norman,"March 28, 2023",5
O evangelho segundo Jesus Cristo,José Saramago,"May 11, 2023",10
Ninguém escreve ao coronel,"Garcia
  Marques","May 15, 2023",6
A estrada,Cormac McCarthy,"July 7, 2023",10
O mito de Sísifo,Albert Camus,"January 10, 2023",9
A náusea,Jean Paul Sartre,"July 17, 2023",4
Os senhores do norte,"Bernard
  Cornwell","August 14, 2023",9.5
Harry Potter I,J. K. Rowling,"August 20, 2023",9
A estrutura das revoluções científicas,Thomas Kuhn,"August 25, 2023",10
Harry Potter II,J. K. Rowling,"August 28, 2023",8
12 regras para a vida,Jordan Peterson,"September 6, 2023",0
O diário de Anne Frank,Anne Frank,"September 12, 2023",10
Meridiano de sangue,Cormac McCarthy,"September 25, 2023",10
What is life,Erwin Schrodinger,"September 26, 2023",8
O deserto dos Tártaros,Dino Buzzati,"October 4, 2023",10
O homem duplicado,José Saramago,"October 24, 2023",10
Cem anos de solidão,"Garcia
  Marques","November 16, 2023",10
Quincas Borba,Machado de Assis,"December 18, 2023",7
A canção da espada,"Bernard
  Cornwell","January 15, 2024",7.5
Messias de Duna,Frank Herbert,"January 24, 2024",5
A verdade sobre o caso Harry Quebert,Joel Dicker,"February 5, 2024",4
Nada de novo no front,Erich Remarque,"February 14, 2024",9
Sapiens,Yuval Noah Harari,"March 8, 2024",6.5
Natureza selvagem,John Krakauer,"March 27, 2024",7
Memórias de minhas putas tristes,"Garcia
  Marques","April 15, 2024",7
Todos os belos cavalos,Cormac McCarthy,"April 29, 2024",10
Industrial society and its future,Ted Kaczinski,"May 15, 2024",9
Desobediência civil,Harry Thoreau,"June 6, 2024",9
What the Buddah taught,Walpoula Rahula,"June 18, 2024",10
Anna Karenina,Liev Tolstoi,"August 7, 2024",6
Os portões de Roma,Conn Iggulden,"September 9, 2024",6
Terra em chamas,"Bernard
  Cornwell","November 16, 2024",8.5
As vinhas da ira,John Steinbeck,"December 15, 2024",10
Memorial do convento,José Saramago,"January 10, 2025",8
Incidente em Antares,Erico Veríssimo,"February 22, 2025",8.5
"Grande sertão, veredas",Guimarães Rosa,"April 21, 2025",6
A cabeça do santo,Socorro Alcioli,"May 2, 2025",8
Onde os velhos não têm vez,Cormac McCarthy,"June 17, 2025",10
